date_time,place,longitude,latitude
20200919_013000, Naha,127.68666667,26.20666667
20200919_223000, Nigata,139.01833333,37.89333333
20200919_233000, Sendai,140.89666667,38.26166667
20200920_030000, Fukuoka,130.375,33.58166667
20200920_130000, Naha,127.68666667,26.20666667
20200920_180000, Naha,127.68666667,26.20666667
20200920_213000, Nigata,139.01833333,37.89333333
20200921_113000, Nigata,139.01833333,37.89333333
20200921_130000, Sendai,140.89666667,38.26166667
20200921_180000, Nigata,139.01833333,37.89333333
20200922_140000, Osaka,135.51833333,34.68166667
20200922_160000, Osaka,135.51833333,34.68166667
20200922_200000, Sendai,140.89666667,38.26166667
20200922_200000, Fukuoka,130.375,33.58166667
20200922_203000, Tokyo,139.75,35.69166667
20200923_153000, Fukuoka,130.375,33.58166667
20200924_103000, Tokyo,139.75,35.69166667
20200925_020000, Nigata,139.01833333,37.89333333
20200925_030000, Fukuoka,130.375,33.58166667
20200925_210000, Naha,127.68666667,26.20666667
20200925_233000, Osaka,135.51833333,34.68166667
20200926_023000, Fukuoka,130.375,33.58166667
20200926_073000, Nigata,139.01833333,37.89333333
20200927_020000, Naha,127.68666667,26.20666667
20200929_063000, Fukuoka,130.375,33.58166667
20200930_100000, Fukuoka,130.375,33.58166667
20200930_143000, Osaka,135.51833333,34.68166667
20200930_163000, Osaka,135.51833333,34.68166667
20200930_190000, Tokyo,139.75,35.69166667
20201001_000000, Sendai,140.89666667,38.26166667
20201001_020000, Osaka,135.51833333,34.68166667
20201002_060000, Nigata,139.01833333,37.89333333
20201002_193000, Nigata,139.01833333,37.89333333
20201003_020000, Fukuoka,130.375,33.58166667
20201003_130000, Nigata,139.01833333,37.89333333
20201004_010000, Nigata,139.01833333,37.89333333
20201004_170000, Nigata,139.01833333,37.89333333
20201004_220000, Fukuoka,130.375,33.58166667
20201004_220000, Nigata,139.01833333,37.89333333
20201004_220000, Osaka,135.51833333,34.68166667
20201004_230000, Tokyo,139.75,35.69166667
20201005_173000, Tokyo,139.75,35.69166667
20201005_203000, Sendai,140.89666667,38.26166667
20201007_090000, Naha,127.68666667,26.20666667
20201007_153000, Sendai,140.89666667,38.26166667
20201007_180000, Osaka,135.51833333,34.68166667
20201007_230000, Nigata,139.01833333,37.89333333
20201008_053000, Sendai,140.89666667,38.26166667
20201008_090000, Naha,127.68666667,26.20666667
20201008_160000, Nigata,139.01833333,37.89333333
20201009_010000, Tokyo,139.75,35.69166667
20201009_050000, Sendai,140.89666667,38.26166667
20201010_003000, Osaka,135.51833333,34.68166667
20201010_200000, Osaka,135.51833333,34.68166667
20201010_203000, Naha,127.68666667,26.20666667
20201010_230000, Sendai,140.89666667,38.26166667
20201011_140000, Fukuoka,130.375,33.58166667
20201011_153000, Naha,127.68666667,26.20666667
